train,test,model,median,p95,max,mean,n
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,5.669,12.638,26.961,6.344,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,5.309,8.042,13.55,5.237,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,5.189,8.465,11.205,5.171,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,5.351,8.53,10.835,5.335,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,5.374,8.172,13.582,5.272,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,5.222,8.562,11.366,5.218,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,5.419,8.705,11.093,5.375,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,3.42,6.522,12.673,3.605,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,3.279,6.676,11.015,3.557,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,3.538,6.922,10.813,3.764,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,1.725,3.914,18.961,1.978,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,1.682,3.499,9.846,1.832,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,2.037,4.456,9.481,2.235,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,4.296,7.736,17.039,4.528,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,4.357,7.41,11.495,4.434,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,4.384,7.655,12.57,4.553,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,5.566,9.945,17.147,5.748,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,5.527,9.968,15.645,5.62,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,5.84,9.862,16.2,5.771,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,2.654,5.025,18.184,2.841,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,2.611,4.813,12.279,2.686,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,2.918,5.678,10.236,3.083,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,3.391,5.981,18.816,3.566,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,3.419,5.71,10.047,3.501,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.757,6.176,10.435,3.834,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.757,11.213,17.797,6.811,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,6.696,11.053,15.851,6.737,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,6.968,11.441,17.733,7.042,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,4.009,10.67,18.408,4.784,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.939,10.559,18.56,4.707,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,4.144,10.897,21.458,4.9,1485
IFRA-wb-Dnvk_131_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,4.064,7.375,18.028,4.201,1485
