SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
761,6.89,5.45,11.97,0.49,77.58,19.0819145824,33.9467107492,14.7638736921,64.9202512461,-57.4270401866,26.8168484575
762,10.9,3.95,35.51,0.54,75.09,19.516372953,34.3744904851,12.8662674233,65.2587391059,-56.6913235245,32.4519808597
763,13.21,2.75,55.37,0.81,73.21,19.1722082361,33.7915437729,9.73625278922,64.7967701574,-56.4359439943,41.2073514393
764,6.68,4.91,68.9,2.79,74.59,19.2517808226,32.8818731081,7.11761081046,64.0651470417,-52.8792205258,49.6733129127
765,0.15,11.29,82.13,0.14,77.67,19.7230747974,32.5183776633,5.08285979945,63.7690241967,-49.2373850936,58.5444514044
766,0.0,11.91,98.36,0.0,77.54,21.1859322582,32.8066991957,3.29129621476,64.0040860141,-43.1402330597,69.6021168157
767,32.71,0.0,6.01,0.0,57.46,23.2167330328,37.4953807965,25.0523784476,67.6470402829,-49.4951322349,9.79508678092
768,26.56,3.04,18.22,0.33,59.98,23.0670253352,37.0320915443,21.0867507663,67.3010999996,-48.6740356745,16.702542175
769,18.6,6.99,29.38,0.78,63.26,22.3406472588,35.9182750389,16.9392024172,66.4574334855,-48.3303203649,24.1835733627
770,13.7,9.07,43.68,1.58,64.48,21.9469223075,34.9037222851,13.3496525242,65.6736386014,-46.7666159963,31.8357376323
771,9.28,10.78,58.18,2.48,65.38,21.7936126768,34.2779681566,10.0447778323,65.1826106039,-45.3626075362,40.8471704501
772,3.32,14.69,71.44,1.68,67.71,21.9080354078,33.7878641294,7.24156277475,64.7938373319,-43.1547773391,50.4196418153
773,0.68,16.97,86.32,0.79,68.61,22.4738472882,33.619549597,4.85238502369,64.6594555471,-39.9713115724,61.2920614403
774,0.0,18.02,100.0,0.0,69.29,23.6912710359,33.6166603724,3.01874635931,64.6571448879,-34.5026787418,72.6689676961
775,77.71,0.0,5.01,0.0,0.0,19.4012733116,28.1338626291,52.1068359244,60.0094826824,-34.6434593679,-40.539135784
776,63.47,0.0,0.0,0.0,20.63,22.8504387126,33.2262309045,45.8787623741,64.3436730142,-36.9010017928,-25.9379170255
777,55.8,0.67,6.02,0.2,28.13,24.1932966696,35.3910601215,39.0231478205,66.0520016076,-38.318466132,-14.3550593273
778,50.65,1.96,16.03,0.46,32.03,24.965437026,36.548416684,33.0728613833,66.93684527,-38.812629163,-4.46884132934
779,45.21,3.67,26.18,0.68,35.87,25.4301372772,37.0720631261,28.1285623196,67.3310603153,-38.5467372331,3.95930545356
780,35.38,7.39,32.73,0.92,43.0,25.9397423426,37.4532686397,23.1881993105,67.6157130741,-37.6460333657,13.1615923634
781,25.3,11.21,40.64,1.72,48.83,25.6401914381,36.7808103947,18.2477047246,67.1122591029,-36.7232173684,22.3496344955
782,15.56,14.81,50.21,2.87,53.31,25.5362343962,35.9897494029,14.620979684,66.5120917123,-34.5714061941,29.9261767443
783,6.05,20.05,60.65,1.82,58.07,25.1285543849,34.7622071725,10.9798450827,65.5631087479,-32.1988146336,38.5182156476
784,1.43,22.95,74.4,0.84,59.91,25.6446651899,35.0703419925,7.49995175325,65.8033940157,-31.0628588221,51.1154651319
785,0.03,24.29,89.51,0.04,60.18,26.6725605731,35.4600367654,4.70111328148,66.1052730531,-28.1242277482,64.6016120531
786,70.07,10.98,0.0,0.0,0.0,24.0008977824,30.2906391291,55.7702074694,61.9041873375,-21.2781403365,-41.2028945707
787,64.35,8.67,7.66,3.21,1.71,25.068858141,32.0905215584,48.6077707994,63.4176285065,-23.2041546385,-30.7328350506
788,58.61,9.37,15.58,2.76,8.82,25.9698381889,33.7137737872,41.4020705095,64.7347389548,-25.1032628322,-19.7303917825
789,55.53,9.95,27.05,2.53,11.49,26.5571333142,34.6851484995,35.6198993624,65.5027961716,-25.9979658036,-10.6336467939
790,51.2,10.94,37.26,2.28,15.62,26.6656229173,35.0136010322,29.2405937229,65.7592531227,-26.6610104168,-0.568121641913
791,46.9,11.88,47.79,2.41,19.15,27.0420074391,35.6390268219,23.7471476386,66.2431876474,-27.2214415098,9.75090888097
792,31.92,15.81,50.6,3.55,31.7,29.1986661312,37.5247067542,19.5421768708,67.6688419935,-24.887761399,20.5143844374
793,14.89,22.5,54.17,3.27,43.44,29.3078901316,37.0336608718,15.5291284547,67.3022766805,-22.8896059175,29.0092909267
794,4.69,27.68,63.89,1.64,49.38,28.6036879583,35.6024531591,11.2412601595,66.2150446779,-20.9176015839,38.838241241
795,1.34,29.52,77.94,0.95,50.59,28.8747182227,35.6209929687,7.26947708683,66.2293132337,-19.9292027625,52.7805436182
796,0.01,30.72,92.66,0.02,50.89,29.4666009897,35.5549987847,4.22974203991,66.1785003963,-17.4400113716,67.3911516784
797,57.11,21.29,2.59,0.85,0.0,30.6041368644,34.4485946177,53.4392187336,65.3170894151,-9.44795067919,-32.8383286597
798,52.86,20.45,13.5,3.01,2.29,30.4448432604,35.0269760078,44.6552311813,65.7696623045,-11.9914555204,-22.0041257323
799,51.72,20.16,27.54,3.68,1.49,29.6410504315,34.9676348914,37.3197950399,65.7234593835,-14.8153330534,-12.6204699334
800,50.12,20.48,40.42,3.48,2.26,28.5229549895,34.4255787973,29.2097661762,65.2989755025,-17.2830475368,-1.31194837933
801,43.39,21.2,48.89,4.28,8.49,29.3279550846,35.2637764906,23.6966884864,65.953517017,-16.9992867951,9.34507030739
802,29.36,23.88,52.88,5.73,20.57,31.6744691255,36.9586333473,19.3694101839,67.2459838479,-13.8316448692,20.1510549371
803,12.93,30.73,56.77,3.21,34.36,32.1461605041,36.899257003,15.6363881099,67.201380002,-11.935318803,28.5720537662
804,4.98,34.11,67.69,2.09,39.11,31.7079563078,35.955446223,10.8824620077,66.485868256,-10.4337504828,40.4119507675
805,1.28,35.99,81.12,1.08,40.86,31.6732351675,35.3685558959,6.8864116062,66.0346063646,-8.61467020431,54.0363162005
806,0.0,37.06,95.51,0.01,41.23,32.146825513,35.230807196,3.86806653084,65.9279686838,-6.44408625876,69.1402241871
807,45.28,31.68,8.92,1.58,0.05,35.1421137129,35.8503636042,47.7321014537,66.4054327,1.94751095986,-24.5685440529
808,42.95,31.31,22.45,2.87,0.0,33.6682674761,35.040190282,38.9864806792,65.7799438171,-0.420704841846,-14.7753037836
809,41.21,31.27,36.01,3.4,0.0,32.9245279222,34.8300269731,31.5662865096,65.6161165093,-2.32638174033,-4.47192875143
810,35.0,31.6,45.76,4.85,4.43,33.6575116701,35.6366911403,25.4286792978,66.2413909457,-2.44719729628,6.70185425267
811,23.15,34.56,51.8,4.45,15.37,32.0278338296,33.5127748757,18.4478592044,64.5739742852,-1.036195389,17.5326746937
812,12.38,37.94,59.94,3.56,23.75,32.2507047526,33.4537827581,14.1800671034,64.5266687314,-0.0309664691937,27.6437865193
813,4.57,40.87,70.69,2.22,29.04,31.9884544184,32.9382618903,9.69661516765,64.1108885337,0.817890284202,40.1581006728
814,1.1,42.45,83.91,1.1,30.9,32.3880874074,32.9294939,6.31603888309,64.1037795386,2.28394924981,53.1902374398
815,0.0,43.29,98.1,0.0,31.2,32.9968999901,33.0669470348,3.37988307154,64.2150802788,3.96843712428,69.3582211614
816,35.94,41.99,2.48,0.44,0.0,35.5764109165,31.7167914651,47.547947173,63.1081214258,17.6252697963,-30.0389749436
817,32.6,41.53,16.05,2.48,0.0,34.7457071081,31.5048837824,38.3394312503,62.9315473246,15.5732026657,-18.8197320071
818,30.21,41.46,29.98,3.41,0.0,34.2933639832,31.3344104705,30.3278487404,62.7889232445,14.6372174495,-7.42227853765
819,26.33,42.19,42.18,3.29,2.67,34.6850299899,32.1813215691,23.6378483008,63.4924619315,12.9482357623,5.21117884153
820,17.12,44.1,50.84,3.22,10.18,35.1043881922,32.4438109221,18.5584769717,63.7080056908,13.4465064017,15.7974849784
821,9.55,45.93,61.33,2.95,15.41,35.3629967195,32.6802019207,13.5216325945,63.9011260043,13.4886396138,28.3136861411
822,3.78,47.66,73.14,2.08,19.12,35.4030556087,32.5418380943,9.11138697156,63.7882027449,14.1104650286,41.6136182544
823,1.11,48.61,86.52,1.31,20.36,35.7523178606,32.8164544476,5.48953597299,64.0120151128,14.3192494278,56.9106109444
824,0.0,49.6,100.0,0.0,22.0,35.9837397198,32.6285105507,2.73660091937,63.8589763442,15.7522542702,73.4293559539
825,28.6,52.0,0.0,0.0,0.0,38.3196086827,30.1814782154,45.2518377968,61.8104914119,32.2083569208,-29.5529215297
826,21.8,50.83,9.55,2.3,0.0,39.9774730233,31.9788862935,39.5787460195,63.3254298535,30.9050588338,-19.7920859447
827,18.8,50.82,23.94,3.39,0.0,39.1057397578,31.418668078,31.651909497,62.8594806564,30.1836289108,-9.35590519645
828,14.77,51.72,36.88,2.83,2.65,39.340934554,32.1732903504,24.9620549895,63.4858486288,28.2242425523,2.78236296
829,9.16,53.1,48.67,1.92,6.87,39.5116647022,32.5281344669,18.9453909401,63.7770013564,27.5049454623,15.0769869074
830,6.06,53.63,62.12,1.95,7.93,39.3044304282,32.4609993572,13.1810081389,63.7220793972,27.0912725466,28.9318401847
831,2.19,54.56,74.92,1.32,10.02,39.114335634,32.3672134057,8.37799463568,63.6452279608,26.8239021066,44.0139071205
832,0.42,55.12,88.52,0.56,10.63,39.490308733,32.6829154036,4.59627173804,63.9033373772,26.8934731235,61.3815776718
833,0.0,54.13,100.0,0.0,8.88,41.1156713059,34.0948216843,2.64233577937,65.037766663,27.0294715538,76.2082085729
834,10.98,59.54,3.23,1.21,0.42,45.2603878163,32.7616934009,40.840546654,63.9674847981,43.8856261634,-20.3314722471
835,7.9,59.55,18.51,2.22,0.0,44.7250188815,32.6957601131,32.8182643589,63.9138036073,42.5788324784,-9.30161271867
836,6.05,59.96,33.83,1.74,0.09,44.8475793313,33.0701068574,26.3033545827,64.2176352707,41.6224227497,1.68110076812
837,2.65,60.73,47.56,0.8,1.9,44.1589766282,32.5391709537,19.5579151765,63.7860228622,41.4898964096,13.7866589745
838,0.75,61.1,61.83,0.24,2.11,44.8737867706,33.6593133662,13.9831680978,64.6912432058,39.6564534641,28.4446081765
839,0.4,61.09,76.4,0.26,1.03,44.6563734976,33.8680214703,8.37732436861,64.8576778531,38.3122964574,46.1068262833
840,0.02,61.11,90.49,0.04,0.19,44.9761626086,34.1257966259,4.54231138764,65.0623000105,38.351502243,63.6798785549
841,2.27,67.67,0.0,0.0,0.0,49.1436176902,32.6751767089,40.773862611,63.8970303476,54.9986944452,-20.3667925543
842,0.12,67.72,15.29,0.05,0.0,48.7499350374,32.8901162593,33.2594098522,64.0718369887,53.175891381,-9.68524836567
843,17.16,0.0,0.0,0.0,98.25,12.0668813899,26.948466112,9.57807845242,58.9265966036,-72.8683437193,31.6204930408
844,10.13,2.58,16.73,0.25,99.3,12.0665357289,26.5822436593,8.40866471299,58.5856365807,-71.4010764607,35.1767551455
845,13.87,1.09,43.32,0.2,98.26,11.8845767541,26.2783710038,6.86804802353,58.3003402377,-71.4348055281,40.7791342477
846,16.29,0.11,65.97,0.05,97.38,12.3129893549,26.6281949077,5.26791175502,58.6285891896,-69.8950287992,48.7344579779
847,15.43,0.48,85.1,0.76,97.46,12.807561104,26.3290986977,3.73480063442,58.3481192298,-65.3592067448,56.9094034674
848,2.21,1.92,98.84,7.97,99.44,13.6794023564,25.407886833,2.61974105413,57.4706989357,-55.9152407697,63.343090038
849,28.16,0.0,0.0,0.0,87.05,14.6151116722,29.6165997651,13.4933658765,61.3219956891,-66.7005273542,23.9432284845
850,17.69,3.81,10.18,0.36,89.15,14.5917631919,29.2645391898,11.7003928241,61.0143910602,-65.5166820476,28.4891569206
851,16.63,4.99,31.87,0.61,89.09,14.5960926532,28.9316738115,9.92731359381,60.721280473,-64.2269253273,33.5431207944
852,19.25,3.39,54.72,0.97,87.47,14.7955008227,29.0681851166,7.71497946011,60.8417584974,-63.5382374484,41.7096075556
853,16.05,4.05,72.15,2.75,87.79,14.5932493566,28.1736408397,5.4721654173,60.0452888494,-61.3304719894,50.1569976277
854,10.12,3.5,88.13,7.3,88.13,15.3682009016,27.7014334578,3.79500616277,59.6180377665,-54.8534945206,58.7179593715
855,0.0,15.79,100.0,0.0,93.46,16.9588681529,28.2428981309,2.69772123597,60.1075501317,-47.9159593028,67.2671455793
856,38.8,0.0,0.0,0.0,72.44,18.8089583562,33.1893119483,21.0204069524,64.3139043268,-56.2094352504,11.6854512899
857,31.0,3.0,11.56,0.36,75.2,19.1608307771,33.353187997,18.2807024486,64.4458737428,-54.9811974561,17.6795583356
858,25.38,6.42,26.63,0.68,77.13,18.6798437803,32.4980233335,15.0584325974,63.7523773647,-54.4540893228,24.0586924211
859,18.64,9.87,41.16,1.56,79.26,18.2792598957,31.4649088271,11.9934114893,62.8981491107,-52.8550615804,30.873553177
860,17.66,9.11,60.1,3.28,78.37,17.6943582765,30.5443900316,8.64067062671,62.1211224807,-52.6026102092,40.4210183943
861,9.93,11.4,74.4,5.88,80.15,17.0904626985,28.957912009,5.84584294994,60.7444663636,-49.9385757053,49.5601622467
862,1.51,19.94,88.28,2.01,84.64,17.661872817,28.423058566,3.9669248427,60.2690363569,-44.7934648198,58.7742450336
