SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1747,0.0,50.0,100.0,0.0,100.0,100.0,100.0,1.14267892197,1.30754737312,0.833240366765,11.3281647213,-3.80173563189,3.8876722988
1748,50.0,100.0,0.0,100.0,0.0,0.0,0.0,2.18273405403,1.61501563179,1.01131559858,13.3213232613,15.0532353954,4.44109228793
1749,50.0,0.0,100.0,0.0,100.0,100.0,100.0,0.867949570824,1.09959394695,0.855560828949,9.79499428866,-7.17779516215,0.861664150094
1750,100.0,100.0,50.0,0.0,100.0,100.0,100.0,1.56092541481,1.384608796,0.707750931793,11.8548196756,6.41771168533,7.0803526881
1751,50.0,0.0,50.0,100.0,0.0,0.0,0.0,2.21848643809,2.46811312744,1.43305015051,17.7737805023,-3.3703334335,6.4364966646
1752,50.0,100.0,50.0,0.0,100.0,100.0,100.0,1.50139287013,1.34803106715,0.72489369064,11.6073437566,5.85555994834,6.33009582727
1753,100.0,0.0,50.0,100.0,0.0,0.0,0.0,1.22973972626,1.73233897943,1.59425110434,14.0148111444,-12.5576477254,-1.91797427037
1754,0.0,100.0,50.0,0.0,100.0,100.0,100.0,1.49235479419,1.35200965975,0.731413527975,11.6344772784,5.48757146828,6.25381784609
1755,0.0,50.0,50.0,100.0,0.0,0.0,0.0,2.8874925955,2.54359571438,1.23029718676,18.1146314698,8.21917109652,9.5920518077
1756,100.0,50.0,50.0,0.0,100.0,100.0,100.0,1.03495925852,1.02295115415,0.880481739072,9.1811922144,1.75161745091,-0.616019346073
1757,50.0,50.0,50.0,100.0,0.0,0.0,0.0,2.12473672472,2.05397690132,1.20818687599,15.7679975812,3.24324688619,5.8428060564
1758,50.0,50.0,50.0,0.0,100.0,100.0,100.0,1.03807478863,1.0373276064,0.883239145106,9.29860851246,1.35607148439,-0.459494443269
1759,100.0,50.0,50.0,100.0,0.0,0.0,0.0,1.38039911006,1.58008998407,1.36148453413,13.1084175402,-4.06280672548,-0.730279064934
1760,0.0,50.0,50.0,0.0,100.0,100.0,100.0,1.01671358974,1.02131069145,0.864206355834,9.16772434815,1.15770089859,-0.36624643973
1761,0.0,100.0,50.0,100.0,0.0,0.0,0.0,2.73724895157,1.97119623512,0.923561482457,15.3353543038,17.4577629503,9.28788596626
1762,100.0,0.0,50.0,0.0,100.0,100.0,100.0,0.723991195596,0.78816216553,0.97515551523,7.11943965004,-1.45478351753,-5.69553024029
1763,50.0,100.0,50.0,100.0,0.0,0.0,0.0,2.17236495692,1.70612783802,0.895076197906,13.8626615566,12.4955572038,7.21352749214
1764,50.0,0.0,50.0,0.0,100.0,100.0,100.0,0.740500356767,0.823910858124,0.918086371506,7.44235626621,-2.18007818782,-4.23214876323
1765,100.0,100.0,50.0,100.0,0.0,0.0,0.0,1.6662105363,1.46806547754,0.927083122468,12.4035832103,6.83445421572,4.17631598277
1766,0.0,0.0,50.0,0.0,100.0,100.0,100.0,0.748542254809,0.827027407902,0.906654718759,7.47050794494,-1.97671542566,-3.99751536806
1767,50.0,0.0,100.0,100.0,0.0,0.0,0.0,2.32635725971,2.7302037916,1.0183053215,18.9292835491,-6.08246799047,14.0039964552
1768,50.0,100.0,0.0,0.0,100.0,100.0,100.0,1.40819096867,1.1614521871,0.62388070394,10.2699009083,8.98152521113,5.93080751495
1769,0.0,50.0,100.0,100.0,0.0,0.0,0.0,2.95572548204,2.7348228423,0.919810821247,18.9489706301,5.83636915304,15.5789035049
1770,100.0,50.0,0.0,0.0,100.0,100.0,100.0,0.949751087222,0.849451348392,0.87617604553,7.67306256887,5.13833233283,-3.14435131567
1771,50.0,50.0,100.0,100.0,0.0,0.0,0.0,2.16358349576,2.21571374962,0.933105388523,16.5808597323,0.588650047449,11.2817302878
1772,50.0,50.0,0.0,0.0,100.0,100.0,100.0,0.980269684719,0.883863200638,0.849631584303,7.98390355569,4.93440555298,-2.15992411443
1773,100.0,50.0,100.0,100.0,0.0,0.0,0.0,1.39146053031,1.72051508808,0.988231316957,13.9463675793,-7.351242961,5.87231650168
1774,0.0,50.0,0.0,0.0,100.0,100.0,100.0,0.949504048263,0.849389983587,0.827466995066,7.67250826285,5.13142816965,-2.31510822942
1775,50.0,100.0,100.0,100.0,0.0,0.0,0.0,2.21919376536,1.89643037658,0.852302156221,14.9340623777,8.8849426578,9.77756741948
1776,50.0,0.0,0.0,0.0,100.0,100.0,100.0,0.701318266163,0.679788484098,1.02896929864,6.14050419951,1.84930523033,-8.20640226011
1777,92.31,92.31,92.31,92.31,46.15,92.31,92.31,1.50078973403,1.47967825297,0.756242341421,12.4782798144,2.08480445938,7.24548474968
1778,50.0,0.0,0.0,0.0,50.0,0.0,0.0,27.4163727578,22.3488624892,19.8525682046,54.3952134852,25.3507447574,-3.02288255266
