SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1278,70.2,40.0,20.0,0.0,40.0,0.0,0.0,13.7474,12.3058,11.9296,41.698,12.51,-5.5
1279,100.0,100.0,0.0,40.0,100.0,0.0,0.0,4.07872,2.73483,0.889841,18.949,23.574,16.066
1280,0.0,0.0,0.0,0.0,20.0,0.0,0.0,74.2608,69.7945,49.3583,86.896,14.801,8.875
1281,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.621964,0.723904,0.779013,6.539,-3.07,-3.414
1282,0.0,100.0,0.0,40.0,40.0,40.0,0.0,7.43543,4.52099,2.61598,25.324,34.701,7.943
1283,0.0,40.0,40.0,0.0,40.0,0.0,40.0,24.4677,16.5415,7.1541,47.677,42.082,21.26
1284,40.0,40.0,0.0,40.0,40.0,0.0,0.0,11.3672,8.97546,7.25803,35.937,21.302,0.592
1285,20.0,40.0,20.0,0.0,0.0,0.0,0.0,40.6184,35.5933,31.2957,66.208,20.474,-3.047
1286,40.0,40.0,0.0,20.0,0.0,0.0,70.2,6.56227,4.46737,13.2623,25.16,26.728,-37.786
1287,40.0,100.0,100.0,20.0,100.0,0.0,0.0,12.1062,6.55096,0.542957,30.762,48.81,42.787
1288,40.0,70.2,0.0,0.0,0.0,0.0,0.0,23.355,16.4458,26.3604,47.554,37.739,-27.159
1289,0.8,0.0,0.0,0.0,0.0,0.0,0.0,81.1604,83.5025,74.3391,93.234,1.258,-4.848
1290,70.2,0.0,70.2,20.0,0.0,40.0,0.0,8.10327,14.6679,7.43329,45.176,-44.678,15.811
1291,40.0,0.0,100.0,20.0,0.0,40.0,0.0,12.7238,19.5051,3.89439,51.273,-35.412,43.704
1292,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1.34438,1.4912,3.92951,12.552,-2.726,-23.273
1293,100.0,0.0,70.2,0.0,100.0,0.0,0.0,6.10305,5.07132,1.14215,26.937,14.191,26.004
1294,100.0,40.0,0.0,0.0,40.0,40.0,100.0,2.50817,1.82219,3.92622,14.525,16.576,-19.851
1295,20.0,20.0,20.0,0.0,40.0,0.0,0.0,42.1442,34.6216,16.8701,65.453,28.364,22.603
1296,100.0,100.0,40.0,40.0,0.0,40.0,40.0,1.22347,1.10254,1.90304,9.818,5.337,-12.421
1297,70.2,70.2,70.2,20.0,0.0,0.0,0.0,6.7353,6.03317,4.39906,29.496,9.817,3.161
1298,0.0,0.0,0.0,0.0,0.0,74.9,0.0,22.6014,38.3394,32.8251,68.27,-54.943,-1.813
1299,0.0,0.0,0.0,70.2,100.0,0.0,0.0,9.86709,6.74234,1.16806,31.213,30.367,33.016
1300,100.0,0.0,0.0,0.0,0.0,70.2,100.0,2.1204,1.59047,8.09666,13.172,14.342,-41.96
1301,40.0,40.0,0.0,40.0,100.0,40.0,40.0,5.51078,3.76041,1.08181,22.863,25.085,19.841
1302,70.2,40.0,0.0,0.0,0.0,0.0,20.0,14.3468,13.5183,32.1482,43.534,8.339,-43.443
1303,0.0,20.0,0.0,0.0,40.0,0.0,0.0,58.7423,45.8622,24.2985,73.456,38.282,21.162
1304,40.0,20.0,70.2,0.0,0.0,0.0,100.0,3.37715,2.23251,4.35732,16.663,22.804,-18.726
1305,40.0,0.0,40.0,0.0,0.0,100.0,0.0,7.77184,19.2798,11.5944,51.013,-72.865,11.553
1306,40.0,0.0,0.0,40.0,100.0,40.0,100.0,3.83719,2.61912,0.900694,18.449,22.22,15.025
1307,40.0,0.0,40.0,20.0,0.0,40.0,0.0,14.8812,22.2811,14.6648,54.324,-34.92,8.791
1308,70.2,100.0,100.0,40.0,0.0,0.0,0.0,3.39033,2.43282,1.08171,17.612,18.926,10.789
1309,40.0,0.0,40.0,0.0,100.0,40.0,0.0,15.7649,11.651,1.56421,40.656,29.201,44.35
1310,70.2,70.2,70.2,0.0,0.0,40.0,0.0,5.5552,6.06465,4.67572,29.575,-3.33,1.751
1311,0.0,0.0,0.0,0.0,0.4,0.0,0.0,81.8361,83.8976,73.9065,93.406,1.823,-4.176
1312,70.2,0.0,100.0,0.0,0.0,20.0,0.0,13.9608,24.0452,5.30125,56.133,-48.365,44.257
1313,0.0,0.0,40.0,0.0,100.0,0.0,0.0,56.9348,36.6651,1.75634,67.025,61.609,87.714
1314,70.2,20.0,20.0,0.0,0.0,0.0,100.0,3.59726,2.03734,11.1446,15.682,30.512,-48.0
1315,0.0,10.2,0.0,0.0,0.0,0.0,0.0,74.9162,73.1601,66.6356,88.524,9.128,-6.051
1316,0.0,0.0,0.0,40.0,0.0,40.0,40.0,8.68942,9.35074,12.3246,36.651,-2.774,-15.348
1317,0.0,100.0,100.0,20.0,0.0,0.0,0.0,19.4266,10.3093,1.5289,38.392,58.672,40.851
1318,100.0,40.0,70.2,0.0,100.0,0.0,0.0,5.43741,4.14248,1.08978,24.137,18.735,21.922
1319,40.0,0.0,100.0,0.0,0.0,40.0,0.0,19.3317,30.2042,5.27893,61.83,-42.832,54.192
1320,3.1,0.0,0.0,0.0,0.0,0.0,0.0,78.7828,81.5029,73.9294,92.355,0.391,-6.008
1321,70.2,0.0,40.0,0.0,70.2,0.0,0.0,15.752,14.1042,5.32305,44.382,13.066,23.887
1322,70.2,70.2,20.0,0.0,0.0,0.0,100.0,2.65405,1.56282,6.34461,13.002,25.959,-35.051
1323,100.0,40.0,100.0,0.0,100.0,0.0,0.0,5.29769,4.03901,0.688538,23.8,18.531,28.035
1324,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.3848,81.0861,73.1022,92.17,2.376,-5.605
1325,20.0,0.0,0.0,0.0,0.0,100.0,40.0,5.87607,10.8773,14.2266,39.373,-41.914,-15.855
1326,0.0,0.0,20.0,0.0,0.0,20.0,0.0,57.6099,66.5004,43.6554,85.251,-15.3,12.797
1327,40.0,40.0,40.0,20.0,0.0,40.0,0.0,10.0152,11.8839,9.43338,41.031,-10.788,1.252
