dataset,model,seed,median,p95,max,mean,n
FOGRA51-CMY,gaussian_process,1,0.0591,0.1646,0.4833,0.071,795
FOGRA51-CMY,gaussian_process,2,0.0574,0.15,1.089,0.0703,795
FOGRA51-CMY,gaussian_process,3,0.0587,0.161,0.4854,0.07,795
FOGRA51-CMY,gaussian_process,42,0.0574,0.182,0.6788,0.072,795
FOGRA51-CMY,knn,0,1.8318,4.1382,8.6977,2.0576,795
FOGRA51-CMY,knn,1,1.8607,4.3455,10.3156,2.1331,795
FOGRA51-CMY,knn,2,1.9241,4.2229,9.9233,2.1193,795
FOGRA51-CMY,knn,3,1.9137,4.1417,12.0766,2.087,795
FOGRA51-CMY,knn,42,1.9072,4.2072,13.3537,2.1091,795
FOGRA51-CMY,mlp_deep,0,1.1516,4.5416,22.4043,1.6044,795
FOGRA51-CMY,mlp_deep,1,1.1729,4.42,14.3194,1.6003,795
FOGRA51-CMY,mlp_deep,2,1.2692,4.2517,16.5868,1.718,795
FOGRA51-CMY,mlp_deep,3,1.151,4.1923,18.1801,1.5524,795
FOGRA51-CMY,mlp_deep,42,1.0869,3.9741,12.6127,1.504,795
FOGRA51-CMYK,poly3,0,0.8012,6.5323,28.2676,1.7791,1588
FOGRA51-CMYK,poly3,1,0.8032,6.4819,30.4821,1.8038,1588
FOGRA51-CMYK,poly3,2,0.812,6.3737,28.7894,1.7628,1588
FOGRA51-CMYK,poly3,3,0.7969,6.3805,27.7785,1.7641,1588
FOGRA51-CMYK,poly3,42,0.8162,6.7325,29.2867,1.7797,1588
FOGRA51-CMYK,svm,0,1.024,4.5366,12.7257,1.4934,1588
FOGRA51-CMYK,svm,1,1.0341,4.4038,13.1712,1.5018,1588
FOGRA51-CMYK,svm,2,1.0098,4.41,13.0979,1.4839,1588
FOGRA51-CMYK,svm,3,0.9945,4.6988,13.3263,1.5051,1588
FOGRA51-CMYK,svm,42,0.998,4.818,13.1336,1.5112,1588
FOGRA51-CMYK,gaussian_process,0,0.0683,0.2805,3.9235,0.1178,1588
FOGRA51-CMYK,gaussian_process,1,0.0686,0.285,4.7517,0.1179,1588
FOGRA51-CMYK,gaussian_process,2,0.0697,0.2661,4.0905,0.1201,1588
FOGRA51-CMYK,gaussian_process,3,0.0681,0.2773,3.9545,0.1165,1588
FOGRA51-CMYK,gaussian_process,42,0.0686,0.2674,3.1527,0.1143,1588
FOGRA51-CMYK,knn,0,2.1726,5.8674,22.1652,2.6097,1588
FOGRA51-CMYK,knn,1,2.241,6.0114,23.4354,2.6831,1588
FOGRA51-CMYK,knn,2,2.156,5.9979,17.3611,2.6098,1588
FOGRA51-CMYK,knn,3,2.1662,5.9334,20.0654,2.6344,1588
FOGRA51-CMYK,knn,42,2.2272,5.9333,22.2289,2.6808,1588
FOGRA51-CMYK,mlp_deep,0,1.6746,10.7638,34.364,3.0279,1588
FOGRA51-CMYK,mlp_deep,1,1.6742,9.5617,26.8329,2.8285,1588
FOGRA51-CMYK,mlp_deep,2,1.5137,8.558,42.2145,2.6918,1588
FOGRA51-CMYK,mlp_deep,3,1.5958,10.3694,34.7229,2.8886,1588
FOGRA51-CMYK,mlp_deep,42,1.6785,9.5011,36.1394,2.8488,1588
