dataset,model,seed,median,p95,max,mean,n
FOGRA51-CMY,gaussian_process,1,0.065,0.175,0.724,0.078,818
FOGRA51-CMY,gaussian_process,2,0.064,0.172,0.503,0.076,818
FOGRA51-CMY,gaussian_process,3,0.065,0.175,0.711,0.078,818
FOGRA51-CMY,gaussian_process,42,0.065,0.191,0.807,0.08,818
FOGRA51-CMY,knn,0,1.948,4.234,10.973,2.122,818
FOGRA51-CMY,knn,1,1.878,4.229,9.698,2.1,818
FOGRA51-CMY,knn,2,1.926,4.123,9.923,2.136,818
FOGRA51-CMY,knn,3,1.914,4.076,7.583,2.062,818
FOGRA51-CMY,knn,42,1.884,4.299,9.512,2.123,818
FOGRA51-CMY,mlp_deep,0,1.146,3.994,18.187,1.567,818
FOGRA51-CMY,mlp_deep,1,1.149,4.194,22.534,1.565,818
FOGRA51-CMY,mlp_deep,2,1.1,3.641,13.628,1.473,818
FOGRA51-CMY,mlp_deep,3,1.164,4.328,14.352,1.585,818
FOGRA51-CMY,mlp_deep,42,1.226,4.4,14.03,1.626,818
FOGRA51-CMYK,poly3,0,0.81,6.571,30.245,1.793,1617
FOGRA51-CMYK,poly3,1,0.809,6.604,30.625,1.795,1617
FOGRA51-CMYK,poly3,2,0.822,6.604,28.824,1.794,1617
FOGRA51-CMYK,poly3,3,0.801,6.68,27.949,1.799,1617
FOGRA51-CMYK,poly3,42,0.822,6.643,28.377,1.793,1617
FOGRA51-CMYK,svm,0,1.027,4.393,14.313,1.498,1617
FOGRA51-CMYK,svm,1,1.04,4.393,14.934,1.501,1617
FOGRA51-CMYK,svm,2,1.018,4.718,12.579,1.49,1617
FOGRA51-CMYK,svm,3,1.01,4.377,13.195,1.492,1617
FOGRA51-CMYK,svm,42,0.994,4.444,11.38,1.485,1617
FOGRA51-CMYK,gaussian_process,0,0.073,0.296,2.989,0.119,1617
FOGRA51-CMYK,gaussian_process,1,0.074,0.276,4.258,0.118,1617
FOGRA51-CMYK,gaussian_process,2,0.074,0.293,2.822,0.122,1617
FOGRA51-CMYK,gaussian_process,3,0.073,0.299,6.611,0.127,1617
FOGRA51-CMYK,gaussian_process,42,0.072,0.292,3.248,0.124,1617
FOGRA51-CMYK,knn,0,2.141,5.814,18.004,2.603,1617
FOGRA51-CMYK,knn,1,2.191,5.771,23.435,2.609,1617
FOGRA51-CMYK,knn,2,2.141,5.869,22.229,2.572,1617
FOGRA51-CMYK,knn,3,2.198,5.869,20.065,2.658,1617
FOGRA51-CMYK,knn,42,2.16,5.897,20.065,2.602,1617
FOGRA51-CMYK,mlp_deep,0,1.686,9.905,34.853,2.864,1617
FOGRA51-CMYK,mlp_deep,1,1.67,9.884,33.965,2.871,1617
FOGRA51-CMYK,mlp_deep,2,1.734,9.461,29.264,2.892,1617
FOGRA51-CMYK,mlp_deep,3,1.634,10.735,34.245,2.965,1617
FOGRA51-CMYK,mlp_deep,42,1.69,10.342,33.962,2.897,1617
